file,File,for loops,while loops,do-while loops,total loops,total nodes,File,for/loops,while/loops,do-while/loops,total/loops,total/nodes
drivers/pulseaudio/audio_driver_pulseaudio.c,drivers/pulseaudio/audio_driver_pulseaudio.c,2,13,12,27,47752,drivers/pulseaudio/audio_driver_pulseaudio.c,4,13,12,29,46455
editor/project_manager/project_list.c,editor/project_manager/project_list.c,25,38,78,141,184869,editor/project_manager/project_list.c,43,32,68,143,181153
modules/vhacd/register_types.c,modules/vhacd/register_types.c,1,3,9,13,11698,modules/vhacd/register_types.c,3,3,9,15,11556
editor/property_selector.c,editor/property_selector.c,14,14,33,61,94283,editor/property_selector.c,19,15,32,66,92184
servers/display/native_menu.c,servers/display/native_menu.c,2,1,27,30,302364,servers/display/native_menu.c,3,1,27,31,301258
scene/gui/link_button.c,scene/gui/link_button.c,5,0,9,14,108154,scene/gui/link_button.c,8,0,9,17,107216
thirdparty/zstd/decompress/huf_decompress_amd64.c,thirdparty/zstd/decompress/huf_decompress_amd64.c,4,1,1,6,2662,thirdparty/zstd/decompress/huf_decompress_amd64.c,5,1,1,7,2134
scene/3d/world_environment.c,scene/3d/world_environment.c,3,1,9,13,66998,scene/3d/world_environment.c,4,1,9,14,66211
editor/gui/editor_file_dialog.c,editor/gui/editor_file_dialog.c,34,47,107,188,486967,editor/gui/editor_file_dialog.c,34,47,107,188,486967
modules/dds/texture_loader_dds.c,modules/dds/texture_loader_dds.c,3,1,26,30,31901,modules/dds/texture_loader_dds.c,4,1,26,31,31553
drivers/gles3/storage/particles_storage.c,drivers/gles3/storage/particles_storage.c,2,42,69,113,147055,drivers/gles3/storage/particles_storage.c,20,42,69,131,145740
modules/gdscript/editor/gdscript_highlighter.c,modules/gdscript/editor/gdscript_highlighter.c,17,23,70,110,125635,modules/gdscript/editor/gdscript_highlighter.c,17,23,70,110,125635
editor/gui/editor_scene_tabs.c,editor/gui/editor_scene_tabs.c,11,12,27,50,89816,editor/gui/editor_scene_tabs.c,11,12,27,50,89810
editor/plugins/polygon_3d_editor_plugin.c,editor/plugins/polygon_3d_editor_plugin.c,16,8,23,47,92982,editor/plugins/polygon_3d_editor_plugin.c,26,9,21,56,91941
core/io/image.c,core/io/image.c,11,24,389,424,611762,core/io/image.c,20,24,389,433,610090
servers/rendering/renderer_rd/forward_clustered/render_forward_clustered.c,servers/rendering/renderer_rd/forward_clustered/render_forward_clustered.c,26,99,253,378,657410,servers/rendering/renderer_rd/forward_clustered/render_forward_clustered.c,26,99,253,378,657410
thirdparty/icu4c/common/uloc_keytype.c,thirdparty/icu4c/common/uloc_keytype.c,0,7,11,18,16584,thirdparty/icu4c/common/uloc_keytype.c,1,7,11,19,16403
editor/plugins/gizmos/joint_3d_gizmo_plugin.c,editor/plugins/gizmos/joint_3d_gizmo_plugin.c,5,9,12,26,49183,editor/plugins/gizmos/joint_3d_gizmo_plugin.c,13,9,12,34,48216
thirdparty/libwebp/src/dsp/lossless_enc_sse2.c,thirdparty/libwebp/src/dsp/lossless_enc_sse2.c,2,1,35,38,45023,thirdparty/libwebp/src/dsp/lossless_enc_sse2.c,9,1,35,45,43088
modules/gltf/skin_tool.c,modules/gltf/skin_tool.c,22,53,118,193,142746,modules/gltf/skin_tool.c,22,53,118,193,140333
thirdparty/embree/kernels/common/alloc.c,thirdparty/embree/kernels/common/alloc.c,0,11,26,37,22308,thirdparty/embree/kernels/common/alloc.c,5,11,26,42,22080
thirdparty/embree/kernels/bvh/bvh_builder_sah_mb.c,thirdparty/embree/kernels/bvh/bvh_builder_sah_mb.c,28,43,108,179,385607,thirdparty/embree/kernels/bvh/bvh_builder_sah_mb.c,103,44,106,253,344151
thirdparty/jpeg-compressor/jpgd.c,thirdparty/jpeg-compressor/jpgd.c,7,18,86,111,119267,thirdparty/jpeg-compressor/jpgd.c,15,18,86,119,117644
core/io/http_client_tcp.c,core/io/http_client_tcp.c,3,3,26,32,51920,core/io/http_client_tcp.c,4,3,26,33,51472
thirdparty/jolt_physics/jolt/physics/collision/shape/scaledshape.c,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/ScaledShape.c,0,0,3,3,27570,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/ScaledShape.c,0,0,3,3,27570
modules/gdscript/gdscript_function.c,modules/gdscript/gdscript_function.c,5,12,61,78,93179,modules/gdscript/gdscript_function.c,11,12,60,83,89518
thirdparty/jolt_physics/jolt/trianglesplitter/trianglesplitterbinning.c,thirdparty/jolt_physics/Jolt/TriangleSplitter/TriangleSplitterBinning.c,0,0,10,10,5828,thirdparty/jolt_physics/Jolt/TriangleSplitter/TriangleSplitterBinning.c,8,0,10,18,5769
core/io/file_access_compressed.c,core/io/file_access_compressed.c,3,2,7,12,33907,core/io/file_access_compressed.c,4,2,7,13,33393
core/variant/variant.c,core/variant/variant.c,1,40,116,157,169710,core/variant/variant.c,2,40,115,157,168357
thirdparty/openxr/src/loader/loader_logger.c,thirdparty/openxr/src/loader/loader_logger.c,7,16,17,40,33351,thirdparty/openxr/src/loader/loader_logger.c,9,16,17,42,32459
thirdparty/embree/kernels/builders/primrefgen.c,thirdparty/embree/kernels/builders/primrefgen.c,0,9,38,47,74207,thirdparty/embree/kernels/builders/primrefgen.c,0,9,38,47,74207
thirdparty/jolt_physics/jolt/geometry/orientedbox.c,thirdparty/jolt_physics/Jolt/Geometry/OrientedBox.c,0,0,5,5,6023,thirdparty/jolt_physics/Jolt/Geometry/OrientedBox.c,1,0,5,6,5965
thirdparty/freetype/src/cache/ftcache.c,thirdparty/freetype/src/cache/ftcache.c,0,15,26,41,31919,thirdparty/freetype/src/cache/ftcache.c,1,15,26,42,30587
editor/create_dialog.c,editor/create_dialog.c,20,51,117,188,194532,editor/create_dialog.c,20,51,117,188,194532
editor/filesystem_dock.c,editor/filesystem_dock.c,44,99,269,412,559859,editor/filesystem_dock.c,47,92,250,389,537650
thirdparty/thorvg/src/renderer/sw_engine/tvgswrenderer.c,thirdparty/thorvg/src/renderer/sw_engine/tvgSwRenderer.c,0,2,15,17,24475,thirdparty/thorvg/src/renderer/sw_engine/tvgSwRenderer.c,1,2,15,18,24324
scene/3d/physics/character_body_3d.c,scene/3d/physics/character_body_3d.c,17,8,32,57,226926,scene/3d/physics/character_body_3d.c,22,8,32,62,225542
modules/upnp/upnp_miniupnp.c,modules/upnp/upnp_miniupnp.c,4,3,13,20,36391,modules/upnp/upnp_miniupnp.c,8,3,13,24,33598
scene/gui/button.c,scene/gui/button.c,6,2,10,18,201132,scene/gui/button.c,6,2,10,18,201132
modules/enet/enet_packet_peer.c,modules/enet/enet_packet_peer.c,4,1,29,34,102095,modules/enet/enet_packet_peer.c,5,1,29,35,101765
thirdparty/glslang/spirv/inreadableorder.c,thirdparty/glslang/SPIRV/InReadableOrder.c,2,5,3,10,13570,thirdparty/glslang/SPIRV/InReadableOrder.c,4,5,3,12,13078
editor/debugger/editor_expression_evaluator.c,editor/debugger/editor_expression_evaluator.c,10,10,22,42,59032,editor/debugger/editor_expression_evaluator.c,10,10,22,42,59032
core/object/worker_thread_pool.c,core/object/worker_thread_pool.c,6,20,78,104,129541,core/object/worker_thread_pool.c,11,20,78,109,128794
thirdparty/libvorbis/psy.c,thirdparty/libvorbis/psy.c,1,15,38,54,18486,thirdparty/libvorbis/psy.c,5,15,38,58,18328
core/io/packed_data_container.c,core/io/packed_data_container.c,6,6,69,81,99453,core/io/packed_data_container.c,8,6,69,83,98926
editor/gui/editor_validation_panel.c,editor/gui/editor_validation_panel.c,11,6,28,45,55033,editor/gui/editor_validation_panel.c,11,6,28,45,55033
modules/openxr/editor/openxr_select_runtime.c,modules/openxr/editor/openxr_select_runtime.c,8,2,20,30,42376,modules/openxr/editor/openxr_select_runtime.c,11,2,19,32,40628
scene/gui/spin_box.c,scene/gui/spin_box.c,6,10,18,34,168903,scene/gui/spin_box.c,14,10,18,42,162932
thirdparty/mbedtls/library/sha256.c,thirdparty/mbedtls/library/sha256.c,4,0,10,14,10602,thirdparty/mbedtls/library/sha256.c,6,0,10,16,10399
modules/godot_physics_3d/godot_soft_body_3d.c,modules/godot_physics_3d/godot_soft_body_3d.c,12,12,68,92,70460,modules/godot_physics_3d/godot_soft_body_3d.c,16,12,68,96,69852
scene/resources/shader_include.c,scene/resources/shader_include.c,7,4,18,29,56971,scene/resources/shader_include.c,8,4,18,30,56487
thirdparty/libwebp/src/dec/idec_dec.c,thirdparty/libwebp/src/dec/idec_dec.c,0,0,3,3,11448,thirdparty/libwebp/src/dec/idec_dec.c,1,0,3,4,11273
scene/resources/style_box.c,scene/resources/style_box.c,4,2,22,28,101519,scene/resources/style_box.c,6,2,22,30,101160
scene/2d/physics/physics_body_2d.c,scene/2d/physics/physics_body_2d.c,10,1,14,25,68126,scene/2d/physics/physics_body_2d.c,14,1,14,29,67512
thirdparty/jolt_physics/jolt/trianglesplitter/trianglesplittermean.c,thirdparty/jolt_physics/Jolt/TriangleSplitter/TriangleSplitterMean.c,0,0,2,2,1596,thirdparty/jolt_physics/Jolt/TriangleSplitter/TriangleSplitterMean.c,1,0,2,3,1586
modules/multiplayer/multiplayer_debugger.c,modules/multiplayer/multiplayer_debugger.c,9,12,40,61,62856,modules/multiplayer/multiplayer_debugger.c,13,12,40,65,61210
core/string/translation.c,core/string/translation.c,4,10,44,58,132285,core/string/translation.c,5,10,44,59,131785
thirdparty/icu4c/common/dictbe.c,thirdparty/icu4c/common/dictbe.c,2,16,40,58,29715,thirdparty/icu4c/common/dictbe.c,10,16,40,66,29347
modules/godot_physics_3d/godot_body_3d.c,modules/godot_physics_3d/godot_body_3d.c,0,1,24,25,41935,modules/godot_physics_3d/godot_body_3d.c,4,1,24,29,40929
thirdparty/clipper2/src/clipper.engine.c,thirdparty/clipper2/src/clipper.engine.c,25,94,206,325,162773,thirdparty/clipper2/src/clipper.engine.c,26,94,206,326,162443
editor/animation_track_editor.c,editor/animation_track_editor.c,80,139,549,768,1071381,editor/animation_track_editor.c,75,125,508,708,1056950
thirdparty/graphite/src/segment.c,thirdparty/graphite/src/Segment.c,5,3,23,31,15091,thirdparty/graphite/src/Segment.c,7,3,23,33,14801
scene/2d/parallax_background.c,scene/2d/parallax_background.c,4,1,19,24,63502,scene/2d/parallax_background.c,5,1,19,25,63257
thirdparty/libpng/intel/filter_sse2_intrinsics.c,thirdparty/libpng/intel/filter_sse2_intrinsics.c,0,0,6,6,14294,thirdparty/libpng/intel/filter_sse2_intrinsics.c,4,0,6,10,13892
scene/gui/panel_container.c,scene/gui/panel_container.c,6,2,7,15,26284,scene/gui/panel_container.c,8,2,7,17,26166
modules/gdscript/gdscript_editor.c,modules/gdscript/gdscript_editor.c,12,30,120,162,199968,modules/gdscript/gdscript_editor.c,16,29,113,158,179839
editor/editor_audio_buses.c,editor/editor_audio_buses.c,30,60,171,261,298919,editor/editor_audio_buses.c,33,59,162,254,297367
thirdparty/jolt_physics/jolt/physics/softbody/softbodycreationsettings.c,thirdparty/jolt_physics/Jolt/Physics/SoftBody/SoftBodyCreationSettings.c,7,8,13,28,25030,thirdparty/jolt_physics/Jolt/Physics/SoftBody/SoftBodyCreationSettings.c,11,8,13,32,23611
modules/godot_physics_3d/godot_body_pair_3d.c,modules/godot_physics_3d/godot_body_pair_3d.c,1,18,23,42,78428,modules/godot_physics_3d/godot_body_pair_3d.c,8,18,23,49,76714
editor/plugins/polygon_2d_editor_plugin.c,editor/plugins/polygon_2d_editor_plugin.c,40,21,43,104,202674,editor/plugins/polygon_2d_editor_plugin.c,45,21,36,102,195602
core/math/transform_2d.c,core/math/transform_2d.c,0,2,4,6,13194,core/math/transform_2d.c,1,2,4,7,13118
thirdparty/pcre2/src/pcre2_compile_32.c,thirdparty/pcre2/src/pcre2_compile_32.c,5,28,57,90,100131,thirdparty/pcre2/src/pcre2_compile_32.c,6,22,50,78,99755
servers/rendering/renderer_rd/cluster_builder_rd.c,servers/rendering/renderer_rd/cluster_builder_rd.c,0,4,20,24,47239,servers/rendering/renderer_rd/cluster_builder_rd.c,3,4,20,27,46893
scene/2d/physics/collision_object_2d.c,scene/2d/physics/collision_object_2d.c,14,35,47,96,262207,scene/2d/physics/collision_object_2d.c,14,35,47,96,262163
thirdparty/glslang/glslang/machineindependent/parsecontextbase.c,thirdparty/glslang/glslang/MachineIndependent/ParseContextBase.c,5,16,46,67,156040,thirdparty/glslang/glslang/MachineIndependent/ParseContextBase.c,12,16,39,67,122158
scene/2d/line_2d.c,scene/2d/line_2d.c,5,2,13,20,196645,scene/2d/line_2d.c,6,2,13,21,195985
thirdparty/libwebp/src/enc/iterator_enc.c,thirdparty/libwebp/src/enc/iterator_enc.c,1,0,28,29,12518,thirdparty/libwebp/src/enc/iterator_enc.c,5,0,28,33,12324
thirdparty/graphite/src/justifier.c,thirdparty/graphite/src/Justifier.c,1,1,10,12,5466,thirdparty/graphite/src/Justifier.c,2,1,10,13,5271
editor/plugins/gizmos/camera_3d_gizmo_plugin.c,editor/plugins/gizmos/camera_3d_gizmo_plugin.c,5,1,7,13,35952,editor/plugins/gizmos/camera_3d_gizmo_plugin.c,8,1,7,16,35612
thirdparty/libwebp/src/enc/picture_tools_enc.c,thirdparty/libwebp/src/enc/picture_tools_enc.c,0,2,25,27,4813,thirdparty/libwebp/src/enc/picture_tools_enc.c,1,2,25,28,4779
editor/plugins/gizmos/gizmo_3d_helper.c,editor/plugins/gizmos/gizmo_3d_helper.c,0,0,2,2,10729,editor/plugins/gizmos/gizmo_3d_helper.c,2,0,2,4,10705
editor/editor_main_screen.c,editor/editor_main_screen.c,12,10,28,50,58462,editor/editor_main_screen.c,17,10,28,55,58071
thirdparty/libwebp/src/dec/frame_dec.c,thirdparty/libwebp/src/dec/frame_dec.c,0,1,15,16,12768,thirdparty/libwebp/src/dec/frame_dec.c,2,1,15,18,12349
thirdparty/mbedtls/library/psa_crypto.c,thirdparty/mbedtls/library/psa_crypto.c,9,3,7,19,68376,thirdparty/mbedtls/library/psa_crypto.c,10,3,7,20,68161
core/math/a_star.c,core/math/a_star.c,4,33,92,129,307737,core/math/a_star.c,8,33,92,133,306693
thirdparty/jolt_physics/jolt/physics/physicsscene.c,thirdparty/jolt_physics/Jolt/Physics/PhysicsScene.c,18,15,42,75,50900,thirdparty/jolt_physics/Jolt/Physics/PhysicsScene.c,18,15,42,75,50900
drivers/egl/egl_manager.c,drivers/egl/egl_manager.c,0,1,10,11,23631,drivers/egl/egl_manager.c,1,1,10,12,23486
editor/uid_upgrade_tool.c,editor/uid_upgrade_tool.c,9,8,16,33,43231,editor/uid_upgrade_tool.c,9,8,16,33,43139
core/debugger/engine_profiler.c,core/debugger/engine_profiler.c,3,2,20,25,55110,core/debugger/engine_profiler.c,3,2,20,25,55100
editor/plugins/animation_state_machine_editor.c,editor/plugins/animation_state_machine_editor.c,29,54,125,208,321888,editor/plugins/animation_state_machine_editor.c,84,54,125,263,317086
editor/plugins/font_config_plugin.c,editor/plugins/font_config_plugin.c,34,44,80,158,214901,editor/plugins/font_config_plugin.c,34,44,80,158,214901
editor/plugins/canvas_item_editor_plugin.c,editor/plugins/canvas_item_editor_plugin.c,61,82,211,354,603293,editor/plugins/canvas_item_editor_plugin.c,61,82,211,354,603293
core/object/script_language.c,core/object/script_language.c,14,76,186,276,258943,core/object/script_language.c,15,76,186,277,257906
modules/jolt_physics/spaces/jolt_contact_listener_3d.c,modules/jolt_physics/spaces/jolt_contact_listener_3d.c,3,8,18,29,39882,modules/jolt_physics/spaces/jolt_contact_listener_3d.c,10,8,18,36,38145
thirdparty/jolt_physics/jolt/renderer/debugrendererrecorder.c,thirdparty/jolt_physics/Jolt/Renderer/DebugRendererRecorder.c,14,7,18,39,26145,thirdparty/jolt_physics/Jolt/Renderer/DebugRendererRecorder.c,21,7,18,46,24915
thirdparty/freetype/src/gxvalid/gxvalid.c,thirdparty/freetype/src/gxvalid/gxvalid.c,1,10,51,62,49616,thirdparty/freetype/src/gxvalid/gxvalid.c,3,10,51,64,49438
modules/godot_physics_3d/joints/godot_slider_joint_3d.c,modules/godot_physics_3d/joints/godot_slider_joint_3d.c,0,4,15,19,30847,modules/godot_physics_3d/joints/godot_slider_joint_3d.c,3,4,15,22,30211
scene/gui/color_picker.c,scene/gui/color_picker.c,41,44,101,186,440767,scene/gui/color_picker.c,41,44,101,186,440767
modules/openxr/action_map/openxr_interaction_profile_metadata.c,modules/openxr/action_map/openxr_interaction_profile_metadata.c,7,13,48,68,106145,modules/openxr/action_map/openxr_interaction_profile_metadata.c,11,13,48,72,105545
thirdparty/libtheora/decode.c,thirdparty/libtheora/decode.c,7,6,67,80,30114,thirdparty/libtheora/decode.c,14,6,67,87,29662
thirdparty/jolt_physics/jolt/physics/softbody/softbodysharedsettings.c,thirdparty/jolt_physics/Jolt/Physics/SoftBody/SoftBodySharedSettings.c,78,64,171,313,173061,thirdparty/jolt_physics/Jolt/Physics/SoftBody/SoftBodySharedSettings.c,78,64,171,313,173061
core/input/input_event.c,core/input/input_event.c,25,2,54,81,469801,core/input/input_event.c,28,2,54,84,467299
thirdparty/openxr/src/loader/loader_instance.c,thirdparty/openxr/src/loader/loader_instance.c,8,6,26,40,30584,thirdparty/openxr/src/loader/loader_instance.c,9,6,26,41,30030
scene/gui/scroll_bar.c,scene/gui/scroll_bar.c,6,4,11,21,74388,scene/gui/scroll_bar.c,9,4,11,24,71675
editor/inspector_dock.c,editor/inspector_dock.c,11,18,44,73,118042,editor/inspector_dock.c,11,18,44,73,118042
thirdparty/jolt_physics/jolt/physics/body/bodymanager.c,thirdparty/jolt_physics/Jolt/Physics/Body/BodyManager.c,17,12,30,59,39726,thirdparty/jolt_physics/Jolt/Physics/Body/BodyManager.c,30,12,30,72,38810
thirdparty/jolt_physics/jolt/physics/vehicle/motorcyclecontroller.c,thirdparty/jolt_physics/Jolt/Physics/Vehicle/MotorcycleController.c,2,1,3,6,20585,thirdparty/jolt_physics/Jolt/Physics/Vehicle/MotorcycleController.c,2,1,3,6,20585
thirdparty/harfbuzz/src/hb-ot-layout.c,thirdparty/harfbuzz/src/hb-ot-layout.c,30,214,610,854,577765,thirdparty/harfbuzz/src/hb-ot-layout.c,42,214,610,866,574032
scene/2d/canvas_modulate.c,scene/2d/canvas_modulate.c,5,2,11,18,37654,scene/2d/canvas_modulate.c,6,2,11,19,37469
core/input/input.c,core/input/input.c,21,61,130,212,461877,core/input/input.c,32,61,129,222,458846
scene/2d/physics/rigid_body_2d.c,scene/2d/physics/rigid_body_2d.c,8,22,55,85,252079,scene/2d/physics/rigid_body_2d.c,10,22,55,87,251274
servers/rendering/renderer_rd/shader_rd.c,servers/rendering/renderer_rd/shader_rd.c,12,54,145,211,165924,servers/rendering/renderer_rd/shader_rd.c,23,54,143,220,164660
thirdparty/basis_universal/encoder/basisu_gpu_texture.c,thirdparty/basis_universal/encoder/basisu_gpu_texture.c,7,12,108,127,52549,thirdparty/basis_universal/encoder/basisu_gpu_texture.c,8,12,108,128,52009
thirdparty/zstd/compress/zstd_lazy.c,thirdparty/zstd/compress/zstd_lazy.c,560,93,361,1014,478722,thirdparty/zstd/compress/zstd_lazy.c,602,93,361,1056,464671
servers/audio/effects/audio_effect_hard_limiter.c,servers/audio/effects/audio_effect_hard_limiter.c,8,1,16,25,52971,servers/audio/effects/audio_effect_hard_limiter.c,9,1,16,26,52617
thirdparty/icu4c/common/loclikely.c,thirdparty/icu4c/common/loclikely.c,0,2,2,4,12936,thirdparty/icu4c/common/loclikely.c,0,2,2,4,12936
thirdparty/vulkan/vk_mem_alloc.c,thirdparty/vulkan/vk_mem_alloc.c,53,48,171,272,197531,thirdparty/vulkan/vk_mem_alloc.c,71,48,171,290,193989
scene/resources/packed_scene.c,scene/resources/packed_scene.c,37,53,165,255,377469,scene/resources/packed_scene.c,41,53,157,251,364788
thirdparty/meshoptimizer/indexcodec.c,thirdparty/meshoptimizer/indexcodec.c,0,6,11,17,9134,thirdparty/meshoptimizer/indexcodec.c,4,6,11,21,8805
core/math/vector4.c,core/math/vector4.c,0,0,11,11,14166,core/math/vector4.c,2,0,11,13,13901
thirdparty/mbedtls/library/sha1.c,thirdparty/mbedtls/library/sha1.c,5,0,6,11,13024,thirdparty/mbedtls/library/sha1.c,7,0,6,13,12831
editor/editor_native_shader_source_visualizer.c,editor/editor_native_shader_source_visualizer.c,10,3,7,20,47615,editor/editor_native_shader_source_visualizer.c,13,3,7,23,47183
core/debugger/remote_debugger.c,core/debugger/remote_debugger.c,7,16,51,74,95105,core/debugger/remote_debugger.c,8,16,51,75,94981
scene/3d/navigation_agent_3d.c,scene/3d/navigation_agent_3d.c,10,8,26,44,263337,scene/3d/navigation_agent_3d.c,10,8,26,44,263337
editor/project_manager/project_dialog.c,editor/project_manager/project_dialog.c,17,21,63,101,184609,editor/project_manager/project_dialog.c,17,21,63,101,184609
modules/godot_physics_3d/joints/godot_generic_6dof_joint_3d.c,modules/godot_physics_3d/joints/godot_generic_6dof_joint_3d.c,0,3,17,20,27048,modules/godot_physics_3d/joints/godot_generic_6dof_joint_3d.c,7,3,17,27,26513
servers/rendering/renderer_rd/effects/luminance.c,servers/rendering/renderer_rd/effects/luminance.c,5,8,45,58,64950,servers/rendering/renderer_rd/effects/luminance.c,5,8,45,58,64950
scene/resources/surface_tool.c,scene/resources/surface_tool.c,6,25,88,119,307010,scene/resources/surface_tool.c,14,25,88,127,305729
editor/code_editor.c,editor/code_editor.c,21,31,76,128,211306,editor/code_editor.c,21,31,76,128,211306
modules/gdscript/editor/gdscript_translation_parser_plugin.c,modules/gdscript/editor/gdscript_translation_parser_plugin.c,6,10,42,58,55727,modules/gdscript/editor/gdscript_translation_parser_plugin.c,7,10,41,58,55427
thirdparty/clipper2/src/clipper.offset.c,thirdparty/clipper2/src/clipper.offset.c,11,34,104,149,66856,thirdparty/clipper2/src/clipper.offset.c,12,34,104,150,66776
core/variant/dictionary.c,core/variant/dictionary.c,10,28,86,124,185701,core/variant/dictionary.c,85,28,86,199,181516
modules/openxr/extensions/openxr_extension_wrapper_extension.c,modules/openxr/extensions/openxr_extension_wrapper_extension.c,5,3,19,27,172957,modules/openxr/extensions/openxr_extension_wrapper_extension.c,22,3,19,44,172398
drivers/gles3/storage/mesh_storage.c,drivers/gles3/storage/mesh_storage.c,6,84,146,236,256697,drivers/gles3/storage/mesh_storage.c,23,84,145,252,255648
thirdparty/manifold/src/manifold.c,thirdparty/manifold/src/manifold.c,9,38,90,137,170668,thirdparty/manifold/src/manifold.c,9,38,90,137,170668
servers/rendering/renderer_rd/environment/sky.c,servers/rendering/renderer_rd/environment/sky.c,6,25,122,153,184810,servers/rendering/renderer_rd/environment/sky.c,6,25,122,153,184810
thirdparty/zlib/crc32.c,thirdparty/zlib/crc32.c,2,2,19,23,4109,thirdparty/zlib/crc32.c,3,2,19,24,3681
thirdparty/jolt_physics/jolt/physics/collision/shape/sphereshape.c,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/SphereShape.c,3,0,4,7,20298,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/SphereShape.c,3,0,4,7,20298
thirdparty/rvo2/rvo2_3d/agent3d.c,thirdparty/rvo2/rvo2_3d/Agent3d.c,0,1,10,11,11909,thirdparty/rvo2/rvo2_3d/Agent3d.c,1,1,10,12,11785
editor/localization_editor.c,editor/localization_editor.c,17,22,59,98,134824,editor/localization_editor.c,17,22,59,98,134824
scene/resources/texture.c,scene/resources/texture.c,8,5,37,50,216269,scene/resources/texture.c,9,5,37,51,215393
servers/rendering/renderer_canvas_cull.c,servers/rendering/renderer_canvas_cull.c,8,57,146,211,271487,servers/rendering/renderer_canvas_cull.c,43,57,146,246,267651
servers/rendering/dummy/storage/light_storage.c,servers/rendering/dummy/storage/light_storage.c,0,0,11,11,17812,servers/rendering/dummy/storage/light_storage.c,1,0,11,12,17745
scene/3d/xr_nodes.c,scene/3d/xr_nodes.c,10,17,53,80,193516,scene/3d/xr_nodes.c,11,17,52,80,192012
thirdparty/misc/qoa.c,thirdparty/misc/qoa.c,0,1,13,14,5947,thirdparty/misc/qoa.c,1,1,13,15,5839
