File,for loops,while loops,do-while loops,total
thirdparty/jolt_physics/Jolt/TriangleSplitter/TriangleSplitterMorton.linuxbsd.editor.x86_64.c,2,2,8,4
scene/3d/physics/joints/hinge_joint_3d.linuxbsd.editor.x86_64.c,5,1,10,6
modules/gltf/gltf_state.linuxbsd.editor.x86_64.c,19,40,76,59
modules/jolt_physics/joints/jolt_cone_twist_joint_3d.linuxbsd.editor.x86_64.c,0,0,0,0
modules/gltf/structures/gltf_accessor.linuxbsd.editor.x86_64.c,0,0,17,0
servers/rendering/renderer_rd/storage_rd/particles_storage.linuxbsd.editor.x86_64.c,7,29,113,36
modules/gltf/extensions/gltf_spec_gloss.linuxbsd.editor.x86_64.c,0,0,11,0
editor/plugins/gizmos/geometry_instance_3d_gizmo_plugin.linuxbsd.editor.x86_64.c,8,0,10,8
modules/gridmap/grid_map.linuxbsd.editor.x86_64.c,35,40,147,75
scene/3d/physics/collision_shape_3d.linuxbsd.editor.x86_64.c,5,6,21,11
modules/tinyexr/register_types.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/cvtt/ConvectionKernels_BCCommon.linuxbsd.editor.x86_64.c,0,0,0,0
editor/plugins/version_control_editor_plugin.linuxbsd.editor.x86_64.c,14,30,74,44
editor/themes/editor_icons.linuxbsd.editor.x86_64.c,0,2,36,2
scene/3d/physics/ray_cast_3d.linuxbsd.editor.x86_64.c,10,4,17,14
scene/3d/xr_body_modifier_3d.linuxbsd.editor.x86_64.c,4,4,25,8
thirdparty/openxr/src/loader/api_layer_interface.linuxbsd.editor.x86_64.c,9,16,51,25
servers/rendering/rendering_server_globals.linuxbsd.editor.x86_64.c,0,0,0,0
core/object/method_bind.linuxbsd.editor.x86_64.c,0,0,9,0
modules/gdscript/gdscript_editor.linuxbsd.editor.x86_64.c,12,30,119,42
thirdparty/mbedtls/library/platform_util.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/freetype/src/gxvalid/gxvalid.linuxbsd.editor.x86_64.c,1,10,51,11
thirdparty/meshoptimizer/allocator.linuxbsd.editor.x86_64.c,0,0,0,0
editor/inspector_dock.linuxbsd.editor.x86_64.c,11,18,44,29
core/extension/gdextension_interface.linuxbsd.editor.x86_64.c,2,8,33,10
modules/vhacd/register_types.linuxbsd.editor.x86_64.c,1,3,9,4
thirdparty/basis_universal/encoder/basisu_backend.linuxbsd.editor.x86_64.c,9,22,123,31
servers/audio/effects/audio_effect_reverb.linuxbsd.editor.x86_64.c,7,1,29,8
core/io/net_socket.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/libwebp/src/enc/histogram_enc.linuxbsd.editor.x86_64.c,3,11,28,14
core/math/math_fieldwise.linuxbsd.editor.x86_64.c,0,0,0,0
core/io/tcp_server.linuxbsd.editor.x86_64.c,3,0,11,3
thirdparty/libwebp/src/dsp/lossless_enc_sse41.linuxbsd.editor.x86_64.c,0,0,0,0
scene/gui/graph_edit.linuxbsd.editor.x86_64.c,45,79,183,124
thirdparty/icu4c/common/ucptrie.linuxbsd.editor.x86_64.c,0,0,3,0
thirdparty/libpng/pngwtran.linuxbsd.editor.x86_64.c,0,3,17,3
thirdparty/icu4c/common/rbbitblb.linuxbsd.editor.x86_64.c,0,13,50,13
thirdparty/mbedtls/library/aria.linuxbsd.editor.x86_64.c,2,4,21,6
thirdparty/pcre2/src/pcre2_compile_16.linuxbsd.editor.x86_64.c,4,28,58,32
thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/StaticCompoundShape.linuxbsd.editor.x86_64.c,14,9,29,23
scene/gui/check_button.linuxbsd.editor.x86_64.c,7,0,8,7
editor/plugins/parallax_background_editor_plugin.linuxbsd.editor.x86_64.c,10,2,12,12
thirdparty/msdfgen/core/equation-solver.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/mbedtls/library/debug.linuxbsd.editor.x86_64.c,2,3,4,5
thirdparty/libktx/lib/texture2.linuxbsd.editor.x86_64.c,1,1,17,2
thirdparty/mbedtls/library/x509write_csr.linuxbsd.editor.x86_64.c,0,0,0,0
modules/jolt_physics/spaces/jolt_body_accessor_3d.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/icu4c/common/static_unicode_sets.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/icu4c/common/uniset.linuxbsd.editor.x86_64.c,0,15,36,15
modules/gltf/editor/editor_scene_importer_gltf.linuxbsd.editor.x86_64.c,8,9,31,17
scene/2d/physics/kinematic_collision_2d.linuxbsd.editor.x86_64.c,0,2,16,2
thirdparty/icu4c/common/uobject.linuxbsd.editor.x86_64.c,0,0,0,0
scene/3d/lightmap_gi.linuxbsd.editor.x86_64.c,33,28,105,61
core/io/dir_access.linuxbsd.editor.x86_64.c,4,6,44,10
thirdparty/icu4c/common/rbbinode.linuxbsd.editor.x86_64.c,0,2,3,2
thirdparty/glslang/glslang/MachineIndependent/preprocessor/Pp.linuxbsd.editor.x86_64.c,11,20,86,31
core/math/vector2i.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/harfbuzz/src/hb-buffer.linuxbsd.editor.x86_64.c,5,10,74,15
thirdparty/libwebp/src/enc/backward_references_cost_enc.linuxbsd.editor.x86_64.c,2,10,22,12
thirdparty/harfbuzz/src/hb-ot-shaper-use.linuxbsd.editor.x86_64.c,1,18,37,19
thirdparty/msdfgen/core/DistanceMapping.linuxbsd.editor.x86_64.c,0,0,0,0
core/math/a_star_grid_2d.linuxbsd.editor.x86_64.c,5,6,41,11
thirdparty/glslang/SPIRV/SpvBuilder.linuxbsd.editor.x86_64.c,13,141,157,154
thirdparty/freetype/src/type1/type1.linuxbsd.editor.x86_64.c,2,17,33,19
thirdparty/mbedtls/library/pkparse.linuxbsd.editor.x86_64.c,0,1,0,1
drivers/gles3/storage/texture_storage.linuxbsd.editor.x86_64.c,4,35,114,39
servers/audio/effects/audio_effect_capture.linuxbsd.editor.x86_64.c,8,1,26,9
scene/2d/physics/collision_polygon_2d.linuxbsd.editor.x86_64.c,5,6,24,11
modules/gridmap/editor/grid_map_editor_plugin.linuxbsd.editor.x86_64.c,18,21,113,39
thirdparty/icu4c/common/ucase.linuxbsd.editor.x86_64.c,0,1,14,1
thirdparty/etcpak/Dither.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/mbedtls/library/error.linuxbsd.editor.x86_64.c,0,0,0,0
core/io/json.linuxbsd.editor.x86_64.c,32,12,65,44
servers/rendering/renderer_rd/environment/sky.linuxbsd.editor.x86_64.c,6,25,122,31
scene/2d/skeleton_2d.linuxbsd.editor.x86_64.c,7,8,52,15
scene/2d/navigation_region_2d.linuxbsd.editor.x86_64.c,11,7,37,18
modules/webrtc/webrtc_peer_connection.linuxbsd.editor.x86_64.c,5,0,38,5
thirdparty/libwebp/src/enc/picture_enc.linuxbsd.editor.x86_64.c,2,0,0,2
editor/directory_create_dialog.linuxbsd.editor.x86_64.c,12,4,21,16
thirdparty/thorvg/src/renderer/sw_engine/tvgSwRaster.linuxbsd.editor.x86_64.c,5,33,79,38
thirdparty/embree/common/sys/barrier.linuxbsd.editor.x86_64.c,1,6,13,7
editor/gui/editor_object_selector.linuxbsd.editor.x86_64.c,12,7,20,19
thirdparty/basis_universal/encoder/basisu_kernels_sse.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/glslang/glslang/MachineIndependent/Initialize.linuxbsd.editor.x86_64.c,9,18,164,27
modules/openxr/extensions/openxr_composition_layer_depth_extension.linuxbsd.editor.x86_64.c,0,1,7,1
thirdparty/libwebp/src/dec/frame_dec.linuxbsd.editor.x86_64.c,0,1,15,1
modules/mbedtls/crypto_mbedtls.linuxbsd.editor.x86_64.c,9,0,19,9
thirdparty/vhacd/src/VHACD.linuxbsd.editor.x86_64.c,0,8,59,8
scene/resources/atlas_texture.linuxbsd.editor.x86_64.c,6,2,17,8
thirdparty/jolt_physics/Jolt/Physics/Collision/NarrowPhaseQuery.linuxbsd.editor.x86_64.c,2,3,14,5
editor/plugins/collision_polygon_2d_editor_plugin.linuxbsd.editor.x86_64.c,12,0,13,12
thirdparty/harfbuzz/src/hb-ot-shaper-khmer.linuxbsd.editor.x86_64.c,3,0,35,3
thirdparty/basis_universal/encoder/basisu_etc.linuxbsd.editor.x86_64.c,4,21,43,25
thirdparty/jolt_physics/Jolt/Geometry/Indexify.linuxbsd.editor.x86_64.c,0,3,14,3
thirdparty/graphite/src/Font.linuxbsd.editor.x86_64.c,0,0,2,0
thirdparty/mbedtls/library/ssl_ciphersuites.linuxbsd.editor.x86_64.c,0,0,6,0
thirdparty/basis_universal/encoder/pvpngreader.linuxbsd.editor.x86_64.c,5,11,106,16
servers/rendering/renderer_rd/renderer_compositor_rd.linuxbsd.editor.x86_64.c,0,7,23,7
thirdparty/thorvg/src/renderer/tvgTaskScheduler.linuxbsd.editor.x86_64.c,0,3,9,3
servers/rendering/renderer_scene_occlusion_cull.linuxbsd.editor.x86_64.c,2,0,6,2
servers/xr/xr_pose.linuxbsd.editor.x86_64.c,0,0,15,0
thirdparty/harfbuzz/src/hb-shaper.linuxbsd.editor.x86_64.c,0,1,1,1
thirdparty/icu4c/common/unisetspan.linuxbsd.editor.x86_64.c,2,15,40,17
thirdparty/freetype/src/gzip/ftgzip.linuxbsd.editor.x86_64.c,1,3,2,4
main/steam_tracker.linuxbsd.editor.x86_64.c,0,0,0,0
modules/jolt_physics/shapes/jolt_capsule_shape_3d.linuxbsd.editor.x86_64.c,0,0,4,0
core/debugger/script_debugger.linuxbsd.editor.x86_64.c,0,6,24,6
scene/resources/2d/skeleton/skeleton_modification_2d_lookat.linuxbsd.editor.x86_64.c,5,1,10,6
scene/resources/animation_library.linuxbsd.editor.x86_64.c,8,31,90,39
modules/gdscript/gdscript_disassembler.linuxbsd.editor.x86_64.c,0,22,2,22
editor/editor_resource_picker.linuxbsd.editor.x86_64.c,25,26,87,51
scene/gui/link_button.linuxbsd.editor.x86_64.c,5,0,9,5
modules/webrtc/webrtc_data_channel_js.linuxbsd.editor.x86_64.c,0,0,0,0
scene/3d/velocity_tracker_3d.linuxbsd.editor.x86_64.c,2,0,10,2
modules/godot_physics_2d/godot_area_pair_2d.linuxbsd.editor.x86_64.c,1,6,14,7
editor/plugins/tool_button_editor_plugin.linuxbsd.editor.x86_64.c,9,4,23,13
platform/web/export/export_plugin.linuxbsd.editor.x86_64.c,7,5,32,12
thirdparty/thorvg/src/loaders/raw/tvgRawLoader.linuxbsd.editor.x86_64.c,0,0,0,0
drivers/alsamidi/midi_driver_alsamidi.linuxbsd.editor.x86_64.c,2,4,7,6
modules/gridmap/register_types.linuxbsd.editor.x86_64.c,0,0,3,0
modules/godot_physics_2d/godot_collision_solver_2d_sat.linuxbsd.editor.x86_64.c,0,2,6,2
modules/openxr/openxr_util.linuxbsd.editor.x86_64.c,0,0,0,0
core/io/pck_packer.linuxbsd.editor.x86_64.c,1,1,27,2
editor/plugins/animation_library_editor.linuxbsd.editor.x86_64.c,28,42,100,70
editor/plugins/gizmos/navigation_link_3d_gizmo_plugin.linuxbsd.editor.x86_64.c,5,1,8,6
thirdparty/pcre2/src/pcre2_error_16.linuxbsd.editor.x86_64.c,0,0,3,0
thirdparty/pcre2/src/pcre2_chartables_16.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/brotli/common/platform.linuxbsd.editor.x86_64.c,0,0,0,0
editor/plugins/animation_blend_space_2d_editor.linuxbsd.editor.x86_64.c,17,20,52,37
modules/openxr/extensions/openxr_ml2_controller_extension.linuxbsd.editor.x86_64.c,0,1,8,1
thirdparty/jolt_physics/Jolt/Physics/Vehicle/Wheel.linuxbsd.editor.x86_64.c,0,0,0,0
modules/websocket/editor/editor_debugger_server_websocket.linuxbsd.editor.x86_64.c,3,3,10,6
thirdparty/jolt_physics/Jolt/Physics/Vehicle/VehicleAntiRollBar.linuxbsd.editor.x86_64.c,0,0,0,0
editor/gui/editor_title_bar.linuxbsd.editor.x86_64.c,8,0,9,8
servers/xr/xr_interface.linuxbsd.editor.x86_64.c,3,1,11,4
editor/import/resource_importer_dynamic_font.linuxbsd.editor.x86_64.c,8,1,8,9
platform/linuxbsd/x11/dynwrappers/xext-so_wrap.linuxbsd.editor.x86_64.c,0,0,0,0
modules/zip/zip_packer.linuxbsd.editor.x86_64.c,3,0,10,3
thirdparty/icu4c/common/appendable.linuxbsd.editor.x86_64.c,0,0,2,0
platform/linuxbsd/joypad_linux.linuxbsd.editor.x86_64.c,8,6,24,14
scene/2d/tile_map_layer.linuxbsd.editor.x86_64.c,73,64,263,137
thirdparty/basis_universal/encoder/basisu_basis_file.linuxbsd.editor.x86_64.c,0,1,6,1
scene/3d/sprite_3d.linuxbsd.editor.x86_64.c,12,30,89,42
thirdparty/icu4c/common/utrie.linuxbsd.editor.x86_64.c,5,6,31,11
thirdparty/openxr/src/common/filesystem_utils.linuxbsd.editor.x86_64.c,0,1,16,1
scene/2d/line_builder.linuxbsd.editor.x86_64.c,0,5,18,5
editor/project_manager/project_dialog.linuxbsd.editor.x86_64.c,17,21,63,38
editor/plugins/tiles/tile_map_layer_editor.linuxbsd.editor.x86_64.c,88,116,309,204
modules/camera/register_types.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/icu4c/common/utext.linuxbsd.editor.x86_64.c,2,4,15,6
thirdparty/libktx/lib/vkformat_typesize.linuxbsd.editor.x86_64.c,0,0,0,0
core/io/config_file.linuxbsd.editor.x86_64.c,2,12,71,14
editor/plugins/dedicated_server_export_plugin.linuxbsd.editor.x86_64.c,3,3,11,6
thirdparty/jolt_physics/Jolt/Physics/Constraints/DistanceConstraint.linuxbsd.editor.x86_64.c,0,0,1,0
core/debugger/engine_profiler.linuxbsd.editor.x86_64.c,3,2,20,5
thirdparty/icu4c/common/umutex.linuxbsd.editor.x86_64.c,0,2,1,2
modules/openxr/extensions/openxr_wmr_controller_extension.linuxbsd.editor.x86_64.c,0,1,10,1
thirdparty/harfbuzz/src/hb-ot-color.linuxbsd.editor.x86_64.c,0,14,26,14
thirdparty/libtheora/x86/mmxstate.linuxbsd.editor.x86_64.c,0,0,5,0
scene/resources/font.linuxbsd.editor.x86_64.c,21,57,144,78
thirdparty/vhacd/src/FloatMath.linuxbsd.editor.x86_64.c,0,10,110,10
editor/import/3d/resource_importer_obj.linuxbsd.editor.x86_64.c,16,8,34,24
thirdparty/mbedtls/library/psa_crypto_se.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/freetype/src/base/ftglyph.linuxbsd.editor.x86_64.c,1,0,0,1
thirdparty/miniupnpc/src/minixml.linuxbsd.editor.x86_64.c,0,11,4,11
modules/godot_physics_2d/godot_collision_solver_2d.linuxbsd.editor.x86_64.c,0,0,2,0
thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/PlaneShape.linuxbsd.editor.x86_64.c,3,1,9,4
thirdparty/meshoptimizer/indexgenerator.linuxbsd.editor.x86_64.c,8,12,33,20
core/math/dynamic_bvh.linuxbsd.editor.x86_64.c,1,3,48,4
thirdparty/icu4c/common/uhash.linuxbsd.editor.x86_64.c,0,5,8,5
thirdparty/icu4c/common/brkiter.linuxbsd.editor.x86_64.c,0,0,0,0
editor/plugins/theme_editor_plugin.linuxbsd.editor.x86_64.c,38,123,289,161
core/io/packet_peer.linuxbsd.editor.x86_64.c,7,6,43,13
thirdparty/libwebp/src/enc/token_enc.linuxbsd.editor.x86_64.c,0,4,7,4
drivers/winmidi/midi_driver_winmidi.linuxbsd.editor.x86_64.c,0,0,0,0
drivers/gles3/effects/copy_effects.linuxbsd.editor.x86_64.c,0,43,8,43
servers/audio/effects/audio_effect_hard_limiter.linuxbsd.editor.x86_64.c,8,1,16,9
modules/webrtc/register_types.linuxbsd.editor.x86_64.c,4,0,29,4
modules/jolt_physics/objects/jolt_group_filter.linuxbsd.editor.x86_64.c,0,0,0,0
servers/rendering/storage/render_scene_buffers.linuxbsd.editor.x86_64.c,4,2,21,6
servers/audio/effects/reverb_filter.linuxbsd.editor.x86_64.c,1,1,14,2
editor/gui/editor_spin_slider.linuxbsd.editor.x86_64.c,6,12,28,18
platform/windows/export/export.linuxbsd.editor.x86_64.c,0,0,3,0
thirdparty/miniupnpc/src/addr_is_reserved.linuxbsd.editor.x86_64.c,0,0,1,0
servers/rendering/storage/camera_attributes_storage.linuxbsd.editor.x86_64.c,0,0,7,0
thirdparty/libtheora/huffdec.linuxbsd.editor.x86_64.c,0,14,13,14
scene/3d/physics/joints/joint_3d.linuxbsd.editor.x86_64.c,4,3,16,7
core/core_globals.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/pcre2/src/pcre2_auto_possess_32.linuxbsd.editor.x86_64.c,1,3,9,4
thirdparty/miniupnpc/src/minissdpc.linuxbsd.editor.x86_64.c,2,2,19,4
servers/text/text_server_extension.linuxbsd.editor.x86_64.c,4,3,215,7
platform/linuxbsd/freedesktop_screensaver.linuxbsd.editor.x86_64.c,0,0,2,0
thirdparty/openxr/src/loader/loader_logger_recorders.linuxbsd.editor.x86_64.c,0,0,4,0
thirdparty/libpng/pngrtran.linuxbsd.editor.x86_64.c,1,17,125,18
editor/plugins/editor_resource_tooltip_plugins.linuxbsd.editor.x86_64.c,12,2,18,14
modules/multiplayer/scene_rpc_interface.linuxbsd.editor.x86_64.c,2,14,66,16
scene/resources/placeholder_textures.linuxbsd.editor.x86_64.c,10,0,17,10
thirdparty/meshoptimizer/stripifier.linuxbsd.editor.x86_64.c,2,1,6,3
modules/jolt_physics/objects/jolt_shaped_object_3d.linuxbsd.editor.x86_64.c,3,2,18,5
thirdparty/libwebp/sharpyuv/sharpyuv.linuxbsd.editor.x86_64.c,0,3,16,3
thirdparty/msdfgen/core/msdfgen.linuxbsd.editor.x86_64.c,0,8,56,8
scene/3d/look_at_modifier_3d.linuxbsd.editor.x86_64.c,5,2,8,7
core/variant/variant_call.linuxbsd.editor.x86_64.c,4,119,1247,123
editor/plugins/voxel_gi_editor_plugin.linuxbsd.editor.x86_64.c,8,4,14,12
drivers/register_driver_types.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/icu4c/common/unistr_case.linuxbsd.editor.x86_64.c,0,1,0,1
thirdparty/libwebp/src/dsp/upsampling_sse2.linuxbsd.editor.x86_64.c,7,0,14,7
core/variant/variant_op.linuxbsd.editor.x86_64.c,1,6,421,7
editor/rename_dialog.linuxbsd.editor.x86_64.c,13,10,24,23
servers/rendering/renderer_rd/storage_rd/render_scene_buffers_rd.linuxbsd.editor.x86_64.c,9,16,79,25
servers/rendering/renderer_rd/storage_rd/utilities.linuxbsd.editor.x86_64.c,0,6,14,6
modules/noise/noise_texture_3d.linuxbsd.editor.x86_64.c,6,10,46,16
core/variant/variant_utility.linuxbsd.editor.x86_64.c,3,18,221,21
drivers/gles3/rasterizer_canvas_gles3.linuxbsd.editor.x86_64.c,0,47,76,47
scene/3d/marker_3d.linuxbsd.editor.x86_64.c,4,0,7,4
servers/xr/xr_positional_tracker.linuxbsd.editor.x86_64.c,6,7,43,13
thirdparty/icu4c/common/ubidi_props.linuxbsd.editor.x86_64.c,0,2,3,2
thirdparty/icu4c/common/propname.linuxbsd.editor.x86_64.c,0,1,13,1
scene/2d/tile_map.linuxbsd.editor.x86_64.c,28,16,87,44
editor/gui/editor_validation_panel.linuxbsd.editor.x86_64.c,11,6,28,17
thirdparty/mbedtls/library/net_sockets.linuxbsd.editor.x86_64.c,3,1,3,4
modules/gdscript/language_server/gdscript_text_document.linuxbsd.editor.x86_64.c,9,9,36,18
scene/3d/spring_bone_collision_capsule_3d.linuxbsd.editor.x86_64.c,5,0,12,5
scene/2d/marker_2d.linuxbsd.editor.x86_64.c,5,0,10,5
modules/jolt_physics/register_types.linuxbsd.editor.x86_64.c,0,0,0,0
platform/linuxbsd/x11/dynwrappers/xinput2-so_wrap.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/jolt_physics/Jolt/Physics/Collision/GroupFilter.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/brotli/dec/decode.linuxbsd.editor.x86_64.c,5,17,57,22
thirdparty/meshoptimizer/vertexfilter.linuxbsd.editor.x86_64.c,0,2,15,2
scene/3d/physics/kinematic_collision_3d.linuxbsd.editor.x86_64.c,0,2,18,2
editor/plugins/particle_process_material_editor_plugin.linuxbsd.editor.x86_64.c,14,9,18,23
modules/cvtt/register_types.linuxbsd.editor.x86_64.c,0,0,0,0
scene/register_scene_types.linuxbsd.editor.x86_64.c,93,3,41,96
thirdparty/brotli/common/dictionary.linuxbsd.editor.x86_64.c,0,0,0,0
modules/openxr/scene/openxr_hand.linuxbsd.editor.x86_64.c,5,0,25,5
servers/rendering/renderer_rd/framebuffer_cache_rd.linuxbsd.editor.x86_64.c,2,4,26,6
editor/plugins/audio_stream_randomizer_editor_plugin.linuxbsd.editor.x86_64.c,4,3,13,7
scene/3d/remote_transform_3d.linuxbsd.editor.x86_64.c,4,4,18,8
thirdparty/pcre2/src/pcre2_error_32.linuxbsd.editor.x86_64.c,0,0,3,0
core/variant/array.linuxbsd.editor.x86_64.c,1,49,89,50
thirdparty/icu4c/common/normalizer2.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/RotatedTranslatedShape.linuxbsd.editor.x86_64.c,0,0,16,0
thirdparty/icu4c/common/ucol_swp.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/jolt_physics/Jolt/Core/Color.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/harfbuzz/src/hb-subset-input.linuxbsd.editor.x86_64.c,2,10,28,12
modules/godot_physics_2d/godot_broad_phase_2d.linuxbsd.editor.x86_64.c,0,0,0,0
modules/bcdec/image_decompress_bcdec.linuxbsd.editor.x86_64.c,0,1,35,1
thirdparty/libwebp/src/utils/random_utils.linuxbsd.editor.x86_64.c,0,0,0,0
scene/3d/physics/physics_body_3d.linuxbsd.editor.x86_64.c,9,1,25,10
modules/interactive_music/audio_stream_playlist.linuxbsd.editor.x86_64.c,13,9,41,22
thirdparty/zstd/compress/huf_compress.linuxbsd.editor.x86_64.c,9,15,95,24
thirdparty/libwebp/sharpyuv/sharpyuv_dsp.linuxbsd.editor.x86_64.c,0,0,3,0
editor/plugins/gizmos/collision_polygon_3d_gizmo_plugin.linuxbsd.editor.x86_64.c,9,8,34,17
thirdparty/mbedtls/library/ssl_tls.linuxbsd.editor.x86_64.c,21,9,19,30
thirdparty/libvorbis/registry.linuxbsd.editor.x86_64.c,0,0,0,0
editor/editor_interface.linuxbsd.editor.x86_64.c,5,17,70,22
modules/gdscript/language_server/gdscript_language_protocol.linuxbsd.editor.x86_64.c,6,11,46,17
editor/find_in_files.linuxbsd.editor.x86_64.c,15,37,92,52
scene/2d/physics/character_body_2d.linuxbsd.editor.x86_64.c,10,6,22,16
thirdparty/mbedtls/library/ssl_tls13_client.linuxbsd.editor.x86_64.c,0,6,2,6
thirdparty/jolt_physics/Jolt/Physics/LargeIslandSplitter.linuxbsd.editor.x86_64.c,6,1,9,7
editor/export/codesign.linuxbsd.editor.x86_64.c,3,24,81,27
thirdparty/mbedtls/library/pkwrite.linuxbsd.editor.x86_64.c,0,0,0,0/../samples/decompilations/godot/thirdparty/icu4c/common/ucnv_bld.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/thorvg/src/renderer/sw_engine/tvgSwMath.linuxbsd.editor.x86_64.c,0,1,0,1
scene/2d/mesh_instance_2d.linuxbsd.editor.x86_64.c,15,8,34,23
core/os/keyboard.linuxbsd.editor.x86_64.c,0,0,16,0
drivers/windows/ip_windows.linuxbsd.editor.x86_64.c,0,0,0,0
modules/dds/register_types.linuxbsd.editor.x86_64.c,3,0,3,3
