file,File,for loops,while loops,do-while loops,total,File,for/loops,while/loops,do-while/loops,total
thirdparty/icu4c/common/utrie.c,thirdparty/icu4c/common/utrie.c,5,6,31,11,thirdparty/icu4c/common/utrie.c,19,6,31,56
editor/project_manager/project_dialog.c,editor/project_manager/project_dialog.c,17,21,63,38,editor/project_manager/project_dialog.c,17,21,63,101
editor/plugins/tiles/tile_map_layer_editor.c,editor/plugins/tiles/tile_map_layer_editor.c,88,116,309,204,editor/plugins/tiles/tile_map_layer_editor.c,88,116,309,513
thirdparty/icu4c/common/utext.c,thirdparty/icu4c/common/utext.c,2,4,15,6,thirdparty/icu4c/common/utext.c,3,4,15,22
editor/plugins/dedicated_server_export_plugin.c,editor/plugins/dedicated_server_export_plugin.c,3,3,11,6,editor/plugins/dedicated_server_export_plugin.c,4,3,11,18
core/debugger/engine_profiler.c,core/debugger/engine_profiler.c,3,2,20,5,core/debugger/engine_profiler.c,3,2,20,25
thirdparty/libtheora/x86/mmxstate.c,thirdparty/libtheora/x86/mmxstate.c,0,0,5,0,thirdparty/libtheora/x86/mmxstate.c,1,0,5,6
scene/resources/font.c,scene/resources/font.c,21,57,144,78,scene/resources/font.c,39,57,144,240
thirdparty/vhacd/src/floatmath.c,thirdparty/vhacd/src/FloatMath.c,0,10,110,10,thirdparty/vhacd/src/FloatMath.c,7,10,110,127
thirdparty/jolt_physics/jolt/physics/collision/shape/planeshape.c,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/PlaneShape.c,3,1,9,4,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/PlaneShape.c,3,1,9,13
core/math/dynamic_bvh.c,core/math/dynamic_bvh.c,1,3,48,4,core/math/dynamic_bvh.c,11,3,48,62
editor/plugins/theme_editor_plugin.c,editor/plugins/theme_editor_plugin.c,38,123,289,161,editor/plugins/theme_editor_plugin.c,38,123,289,450
servers/audio/effects/audio_effect_hard_limiter.c,servers/audio/effects/audio_effect_hard_limiter.c,8,1,16,9,servers/audio/effects/audio_effect_hard_limiter.c,8,1,16,25
servers/rendering/storage/render_scene_buffers.c,servers/rendering/storage/render_scene_buffers.c,4,2,21,6,servers/rendering/storage/render_scene_buffers.c,5,2,21,28
servers/rendering/storage/camera_attributes_storage.c,servers/rendering/storage/camera_attributes_storage.c,0,0,7,0,servers/rendering/storage/camera_attributes_storage.c,1,0,7,8
thirdparty/miniupnpc/src/minissdpc.c,thirdparty/miniupnpc/src/minissdpc.c,2,2,19,4,thirdparty/miniupnpc/src/minissdpc.c,4,2,19,25
thirdparty/openxr/src/loader/loader_logger_recorders.c,thirdparty/openxr/src/loader/loader_logger_recorders.c,0,0,4,0,thirdparty/openxr/src/loader/loader_logger_recorders.c,2,0,4,6
thirdparty/libpng/pngrtran.c,thirdparty/libpng/pngrtran.c,1,17,125,18,thirdparty/libpng/pngrtran.c,5,17,125,147
editor/plugins/editor_resource_tooltip_plugins.c,editor/plugins/editor_resource_tooltip_plugins.c,12,2,18,14,editor/plugins/editor_resource_tooltip_plugins.c,12,2,18,32
core/variant/variant_call.c,core/variant/variant_call.c,4,119,1247,123,core/variant/variant_call.c,6,119,1248,1373
editor/plugins/voxel_gi_editor_plugin.c,editor/plugins/voxel_gi_editor_plugin.c,8,4,14,12,editor/plugins/voxel_gi_editor_plugin.c,8,4,14,26
thirdparty/libwebp/src/dsp/upsampling_sse2.c,thirdparty/libwebp/src/dsp/upsampling_sse2.c,7,0,14,7,thirdparty/libwebp/src/dsp/upsampling_sse2.c,35,0,14,49
core/variant/variant_op.c,core/variant/variant_op.c,1,6,421,7,core/variant/variant_op.c,3,6,421,430
editor/rename_dialog.c,editor/rename_dialog.c,13,10,24,23,editor/rename_dialog.c,13,10,24,47
servers/rendering/renderer_rd/storage_rd/render_scene_buffers_rd.c,servers/rendering/renderer_rd/storage_rd/render_scene_buffers_rd.c,9,16,79,25,servers/rendering/renderer_rd/storage_rd/render_scene_buffers_rd.c,9,16,79,104
servers/rendering/renderer_rd/storage_rd/utilities.c,servers/rendering/renderer_rd/storage_rd/utilities.c,0,6,14,6,servers/rendering/renderer_rd/storage_rd/utilities.c,5,6,14,25
core/variant/variant_utility.c,core/variant/variant_utility.c,3,18,221,21,core/variant/variant_utility.c,7,18,221,246
drivers/gles3/rasterizer_canvas_gles3.c,drivers/gles3/rasterizer_canvas_gles3.c,0,47,76,47,drivers/gles3/rasterizer_canvas_gles3.c,0,47,76,123
scene/2d/tile_map.c,scene/2d/tile_map.c,28,16,87,44,scene/2d/tile_map.c,28,16,87,131
editor/gui/editor_validation_panel.c,editor/gui/editor_validation_panel.c,11,6,28,17,editor/gui/editor_validation_panel.c,11,6,28,45
modules/gdscript/language_server/gdscript_text_document.c,modules/gdscript/language_server/gdscript_text_document.c,9,9,36,18,modules/gdscript/language_server/gdscript_text_document.c,15,9,36,60
scene/2d/marker_2d.c,scene/2d/marker_2d.c,5,0,10,5,scene/2d/marker_2d.c,6,0,10,16
thirdparty/meshoptimizer/vertexfilter.c,thirdparty/meshoptimizer/vertexfilter.c,0,2,15,2,thirdparty/meshoptimizer/vertexfilter.c,1,2,15,18
editor/plugins/particle_process_material_editor_plugin.c,editor/plugins/particle_process_material_editor_plugin.c,14,9,18,23,editor/plugins/particle_process_material_editor_plugin.c,14,9,18,41
scene/register_scene_types.c,scene/register_scene_types.c,93,3,41,96,scene/register_scene_types.c,93,3,41,137
modules/openxr/scene/openxr_hand.c,modules/openxr/scene/openxr_hand.c,5,0,25,5,modules/openxr/scene/openxr_hand.c,6,0,25,31
servers/rendering/renderer_rd/framebuffer_cache_rd.c,servers/rendering/renderer_rd/framebuffer_cache_rd.c,2,4,26,6,servers/rendering/renderer_rd/framebuffer_cache_rd.c,9,4,26,39
thirdparty/harfbuzz/src/hb-subset-input.c,thirdparty/harfbuzz/src/hb-subset-input.c,2,10,28,12,thirdparty/harfbuzz/src/hb-subset-input.c,10,10,28,48
modules/bcdec/image_decompress_bcdec.c,modules/bcdec/image_decompress_bcdec.c,0,1,35,1,modules/bcdec/image_decompress_bcdec.c,2,1,35,38
scene/3d/physics/physics_body_3d.c,scene/3d/physics/physics_body_3d.c,9,1,25,10,scene/3d/physics/physics_body_3d.c,11,1,25,37
thirdparty/mbedtls/library/ssl_tls.c,thirdparty/mbedtls/library/ssl_tls.c,21,9,19,30,thirdparty/mbedtls/library/ssl_tls.c,26,9,19,54
editor/editor_interface.c,editor/editor_interface.c,5,17,70,22,editor/editor_interface.c,5,16,63,84
editor/find_in_files.c,editor/find_in_files.c,15,37,92,52,editor/find_in_files.c,15,37,92,144
scene/2d/physics/character_body_2d.c,scene/2d/physics/character_body_2d.c,10,6,22,16,scene/2d/physics/character_body_2d.c,10,6,22,38
editor/export/codesign.c,editor/export/codesign.c,3,24,81,27,editor/export/codesign.c,4,24,81,109
thirdparty/freetype/src/pfr/pfr.c,thirdparty/freetype/src/pfr/pfr.c,7,8,23,15,thirdparty/freetype/src/pfr/pfr.c,9,8,23,40
modules/jolt_physics/spaces/jolt_physics_direct_space_state_3d.c,modules/jolt_physics/spaces/jolt_physics_direct_space_state_3d.c,8,8,49,16,modules/jolt_physics/spaces/jolt_physics_direct_space_state_3d.c,11,8,49,68
thirdparty/libpng/pngerror.c,thirdparty/libpng/pngerror.c,0,1,16,1,thirdparty/libpng/pngerror.c,1,1,16,18
modules/godot_physics_3d/godot_physics_server_3d.c,modules/godot_physics_3d/godot_physics_server_3d.c,4,14,53,18,modules/godot_physics_3d/godot_physics_server_3d.c,11,14,53,78
modules/vorbis/audio_stream_ogg_vorbis.c,modules/vorbis/audio_stream_ogg_vorbis.c,16,9,42,25,modules/vorbis/audio_stream_ogg_vorbis.c,16,9,42,67
drivers/gles3/storage/utilities.c,drivers/gles3/storage/utilities.c,0,6,30,6,drivers/gles3/storage/utilities.c,3,6,30,39
editor/plugins/root_motion_editor_plugin.c,editor/plugins/root_motion_editor_plugin.c,12,7,31,19,editor/plugins/root_motion_editor_plugin.c,12,7,31,50
thirdparty/amd-fsr2/ffx_fsr2.c,thirdparty/amd-fsr2/ffx_fsr2.c,8,3,18,11,thirdparty/amd-fsr2/ffx_fsr2.c,14,3,18,35
editor/gui/editor_scene_tabs.c,editor/gui/editor_scene_tabs.c,11,12,27,23,editor/gui/editor_scene_tabs.c,11,12,27,50
thirdparty/icu4c/common/uresdata.c,thirdparty/icu4c/common/uresdata.c,0,1,8,1,thirdparty/icu4c/common/uresdata.c,2,1,8,11
thirdparty/embree/kernels/bvh/bvh_statistics.c,thirdparty/embree/kernels/bvh/bvh_statistics.c,49,0,21,49,thirdparty/embree/kernels/bvh/bvh_statistics.c,49,0,21,70
thirdparty/cvtt/convectionkernels_util.c,thirdparty/cvtt/ConvectionKernels_Util.c,0,0,3,0,thirdparty/cvtt/ConvectionKernels_Util.c,2,0,3,5
servers/debugger/servers_debugger.c,servers/debugger/servers_debugger.c,10,33,84,43,servers/debugger/servers_debugger.c,12,33,84,129
scene/2d/physics/rigid_body_2d.c,scene/2d/physics/rigid_body_2d.c,8,22,55,30,scene/2d/physics/rigid_body_2d.c,8,22,55,85
core/io/resource_saver.c,core/io/resource_saver.c,4,7,42,11,core/io/resource_saver.c,5,7,42,54
scene/resources/multimesh.c,scene/resources/multimesh.c,4,0,20,4,scene/resources/multimesh.c,5,0,20,25
thirdparty/glslang/spirv/spvremapper.c,thirdparty/glslang/SPIRV/SPVRemapper.c,13,77,85,90,thirdparty/glslang/SPIRV/SPVRemapper.c,31,77,85,193
thirdparty/libwebp/src/mux/muxedit.c,thirdparty/libwebp/src/mux/muxedit.c,2,4,1,6,thirdparty/libwebp/src/mux/muxedit.c,4,4,1,9
scene/theme/theme_db.c,scene/theme/theme_db.c,9,33,86,42,scene/theme/theme_db.c,10,29,78,117
modules/gltf/editor/editor_scene_importer_blend.c,modules/gltf/editor/editor_scene_importer_blend.c,19,12,48,31,modules/gltf/editor/editor_scene_importer_blend.c,19,12,48,79
core/input/input_map.c,core/input/input_map.c,5,15,75,20,core/input/input_map.c,6,15,75,96
scene/3d/multimesh_instance_3d.c,scene/3d/multimesh_instance_3d.c,5,0,6,5,scene/3d/multimesh_instance_3d.c,6,0,6,12
thirdparty/mbedtls/library/psa_crypto_mac.c,thirdparty/mbedtls/library/psa_crypto_mac.c,8,0,1,8,thirdparty/mbedtls/library/psa_crypto_mac.c,9,0,1,10
core/io/image_loader.c,core/io/image_loader.c,8,6,32,14,core/io/image_loader.c,9,6,32,47
editor/gui/editor_file_dialog.c,editor/gui/editor_file_dialog.c,34,47,107,81,editor/gui/editor_file_dialog.c,34,47,107,188
scene/2d/navigation_agent_2d.c,scene/2d/navigation_agent_2d.c,10,8,27,18,scene/2d/navigation_agent_2d.c,10,8,27,45
modules/upnp/upnp_miniupnp.c,modules/upnp/upnp_miniupnp.c,4,3,13,7,modules/upnp/upnp_miniupnp.c,7,3,13,23
scene/resources/3d/importer_mesh.c,scene/resources/3d/importer_mesh.c,15,39,130,54,scene/resources/3d/importer_mesh.c,21,39,130,190
editor/surface_upgrade_tool.c,editor/surface_upgrade_tool.c,11,7,17,18,editor/surface_upgrade_tool.c,11,7,17,35
scene/animation/tween.c,scene/animation/tween.c,10,6,31,16,scene/animation/tween.c,10,6,31,47
scene/2d/physics/joints/damped_spring_joint_2d.c,scene/2d/physics/joints/damped_spring_joint_2d.c,6,0,15,6,scene/2d/physics/joints/damped_spring_joint_2d.c,8,0,15,23
thirdparty/libwebp/src/enc/iterator_enc.c,thirdparty/libwebp/src/enc/iterator_enc.c,1,0,28,1,thirdparty/libwebp/src/enc/iterator_enc.c,5,0,28,33
thirdparty/recastnavigation/recast/source/recast.c,thirdparty/recastnavigation/Recast/Source/Recast.c,2,2,14,4,thirdparty/recastnavigation/Recast/Source/Recast.c,8,2,14,24
scene/gui/texture_button.c,scene/gui/texture_button.c,6,2,9,8,scene/gui/texture_button.c,12,2,9,23
thirdparty/mbedtls/library/poly1305.c,thirdparty/mbedtls/library/poly1305.c,0,0,2,0,thirdparty/mbedtls/library/poly1305.c,2,0,2,4
thirdparty/jolt_physics/jolt/physics/body/bodycreationsettings.c,thirdparty/jolt_physics/Jolt/Physics/Body/BodyCreationSettings.c,7,7,16,14,thirdparty/jolt_physics/Jolt/Physics/Body/BodyCreationSettings.c,7,7,16,30
core/string/translation.c,core/string/translation.c,4,10,44,14,core/string/translation.c,4,10,44,58
modules/gltf/register_types.c,modules/gltf/register_types.c,21,8,35,29,modules/gltf/register_types.c,21,8,35,64
thirdparty/icu4c/common/rbbirb.c,thirdparty/icu4c/common/rbbirb.c,0,3,2,3,thirdparty/icu4c/common/rbbirb.c,2,3,2,7
editor/plugins/gizmos/camera_3d_gizmo_plugin.c,editor/plugins/gizmos/camera_3d_gizmo_plugin.c,5,1,7,6,editor/plugins/gizmos/camera_3d_gizmo_plugin.c,8,1,7,16
editor/editor_resource_preview.c,editor/editor_resource_preview.c,8,13,41,21,editor/editor_resource_preview.c,10,13,39,62
editor/animation_track_editor_plugins.c,editor/animation_track_editor_plugins.c,15,24,34,39,editor/animation_track_editor_plugins.c,32,17,30,79
thirdparty/vhacd/src/vhacdichull.c,thirdparty/vhacd/src/vhacdICHull.c,1,25,22,26,thirdparty/vhacd/src/vhacdICHull.c,5,25,22,52
thirdparty/mbedtls/library/rsa.c,thirdparty/mbedtls/library/rsa.c,5,3,10,8,thirdparty/mbedtls/library/rsa.c,7,3,10,20
thirdparty/embree/kernels/bvh/bvh_rotate.c,thirdparty/embree/kernels/bvh/bvh_rotate.c,5,0,2,5,thirdparty/embree/kernels/bvh/bvh_rotate.c,6,0,2,8
scene/2d/physics/area_2d.c,scene/2d/physics/area_2d.c,8,29,77,37,scene/2d/physics/area_2d.c,10,29,77,116
servers/display_server.c,servers/display_server.c,3,8,58,11,servers/display_server.c,8,7,58,73
thirdparty/mbedtls/library/ecp.c,thirdparty/mbedtls/library/ecp.c,0,25,34,25,thirdparty/mbedtls/library/ecp.c,5,25,34,64
editor/gui/editor_dir_dialog.c,editor/gui/editor_dir_dialog.c,13,10,22,23,editor/gui/editor_dir_dialog.c,13,10,22,45
thirdparty/icu4c/common/ucharstrieiterator.c,thirdparty/icu4c/common/ucharstrieiterator.c,0,2,2,2,thirdparty/icu4c/common/ucharstrieiterator.c,1,2,2,5
editor/plugins/abstract_polygon_2d_editor.c,editor/plugins/abstract_polygon_2d_editor.c,10,8,16,18,editor/plugins/abstract_polygon_2d_editor.c,10,8,16,34
scene/3d/skeleton_ik_3d.c,scene/3d/skeleton_ik_3d.c,5,4,20,9,scene/3d/skeleton_ik_3d.c,7,4,20,31
editor/editor_undo_redo_manager.c,editor/editor_undo_redo_manager.c,4,7,37,11,editor/editor_undo_redo_manager.c,5,7,35,47
thirdparty/harfbuzz/src/hb-subset-plan.c,thirdparty/harfbuzz/src/hb-subset-plan.c,39,184,618,223,thirdparty/harfbuzz/src/hb-subset-plan.c,83,184,618,885
modules/openxr/editor/openxr_action_map_editor.c,modules/openxr/editor/openxr_action_map_editor.c,19,18,38,37,modules/openxr/editor/openxr_action_map_editor.c,19,18,38,75
thirdparty/jolt_physics/jolt/physics/body/bodymanager.c,thirdparty/jolt_physics/Jolt/Physics/Body/BodyManager.c,17,12,30,29,thirdparty/jolt_physics/Jolt/Physics/Body/BodyManager.c,30,12,30,72
editor/plugins/embedded_process.c,editor/plugins/embedded_process.c,6,4,16,10,editor/plugins/embedded_process.c,6,4,16,26
editor/input_event_configuration_dialog.c,editor/input_event_configuration_dialog.c,15,16,27,31,editor/input_event_configuration_dialog.c,15,16,27,58
modules/godot_physics_2d/godot_step_2d.c,modules/godot_physics_2d/godot_step_2d.c,4,2,16,6,modules/godot_physics_2d/godot_step_2d.c,4,2,16,22
